account_id,plan_tier,industry,mrr_amount,ticket_count,avg_resolution_time,avg_satisfaction,churn,churn_risk_score,account_name,country,signup_date,referral_source,seats_x,is_trial,churn_flag_x,arr_amount,seats_y,upgrade_flag,downgrade_flag,churn_flag_y,billing_frequency,auto_renew_flag,total_usage_count,total_usage_secs,total_errors,beta_feature_ratio,escalation_rate
A-f17767,Enterprise,DevTools,1152.7857142857142,3.0,36.333333333333336,4.0,1,0.9133333333333333,Company_123,US,2023-01-30,event,1,True,True,13833.42857142857,13.642857142857142,0.2142857142857142,0.0714285714285714,True,monthly,0.9285714285714286,713.0,208977.0,38.0,0.0494047619047619,0.3333333333333333
A-5c9849,Basic,EdTech,4083.8888888888887,4.0,59.5,0.0,1,0.9066666666666666,Company_362,IN,2024-11-03,partner,19,False,False,49006.66666666666,36.888888888888886,0.2222222222222222,0.0,True,monthly,0.7777777777777778,473.0,151483.0,23.0,0.0303571428571428,0.25
A-726cfa,Pro,DevTools,1830.6315789473683,3.0,35.666666666666664,4.0,1,0.8966666666666666,Company_82,US,2023-07-01,partner,11,False,False,21967.57894736842,21.05263157894737,0.1052631578947368,0.0,True,monthly,0.8421052631578947,993.0,281986.0,45.0,0.1350079744816587,0.0
A-afa505,Basic,DevTools,7334.444444444444,4.0,37.25,3.0,1,0.8866666666666667,Company_157,US,2023-12-27,partner,70,True,False,88013.33333333333,70.0,0.2222222222222222,0.1111111111111111,True,monthly,0.5555555555555556,507.0,162673.0,28.0,0.1975308641975308,0.25
A-5b1bcd,Pro,DevTools,8886.533333333333,4.0,43.25,4.5,1,0.8866666666666667,Company_166,US,2023-09-16,organic,73,False,False,106638.4,73.0,0.2,0.0,True,annual,0.8666666666666667,869.0,251284.0,54.0,0.0635978835978836,0.0
A-87aa7b,Pro,HealthTech,1430.0625,3.0,27.33333333333333,0.0,1,0.88,Company_433,US,2024-05-16,organic,24,True,False,17160.75,29.5625,0.25,0.125,False,annual,0.8125,742.0,210545.0,35.0,0.06875,0.3333333333333333
A-faa28c,Enterprise,HealthTech,4171.714285714285,4.0,52.25,4.666666666666667,1,0.88,Company_91,US,2024-01-30,organic,48,False,False,50060.57142857143,49.285714285714285,0.2142857142857142,0.0,True,annual,0.7857142857142857,585.0,162007.0,24.0,0.1054421768707482,0.25
A-bbc346,Enterprise,FinTech,2547.846153846154,3.0,45.333333333333336,4.5,1,0.8766666666666667,Company_138,US,2024-08-29,partner,19,False,False,30574.153846153848,25.76923076923077,0.2307692307692307,0.1538461538461538,True,annual,0.8461538461538461,650.0,179376.0,37.0,0.105006105006105,0.0
A-c70870,Basic,Cybersecurity,5659.142857142857,5.0,35.6,4.0,1,0.8766666666666667,Company_253,US,2024-10-22,partner,31,False,False,67909.71428571429,61.57142857142857,0.2857142857142857,0.1428571428571428,False,annual,1.0,334.0,106338.0,18.0,0.101360544217687,0.0
A-ac14bb,Enterprise,FinTech,3468.25,2.0,24.5,4.0,1,0.8733333333333333,Company_15,US,2023-09-08,partner,21,False,False,41619.0,31.25,0.25,0.0,True,annual,0.875,531.0,170826.0,42.0,0.1412698412698412,0.0
